Time,Distance
11409,77
22817,80
34226,77
45635,80
57043,81
68451,81
79860,80
91268,81
102677,78
114085,78
125494,81
136902,81
148311,83
159720,80
171129,82
182537,80
193947,81
205355,83
216763,81
228172,83
239581,79
250989,83
262398,83
273806,82
285215,81
296624,82
308033,83
319441,82
330850,83
342258,84
353667,78
365075,83
376484,84
387893,81
399302,83
410711,82
422119,84
433529,85
444938,84
456346,83
467755,84
479163,81
490571,83
501979,84
513388,83
524797,85
536205,86
547613,83
559023,83
570432,82
581840,81
593249,83
604658,83
616067,85
627475,83
638883,84
650292,86
661701,84
673110,84
684519,85
695928,83
707336,84
718745,85
730153,83
741562,84
752972,85
764380,86
775789,81
787197,83
798606,86
810016,80
821424,85
832833,83
844241,85
855650,82
867059,83
878467,84
889875,84
901284,82
912693,86
924101,83
935510,85
946918,84
958326,82
969735,81
981143,85
992552,81
1003960,82
1015369,85
1026777,86
1038187,86
1049596,81
1061004,83
1072413,86
1083821,84
1095230,87
1106639,84
1118048,86
1129457,85
1140866,84
1152274,85
1163683,85
1175091,85
1186500,81
1197908,85
1209317,83
1220726,85
1232134,82
1243543,82
1254953,82
1266361,84
1277770,84
1289179,84
1300588,83
1311996,86
1323405,82
1334813,86
1346222,83
1357631,85
1369039,83
1380447,85
1391856,84
1403264,84
1414673,87
1426082,86
1437490,85
1448899,81
1460307,85
1471717,85
1483126,83
1494534,86
1505944,82
1517352,84
1528761,85
1540170,84
1551579,83
1562987,88
1574396,84
1585804,87
1597213,85
1608621,85
1620029,88
1631438,85
1642847,83
1654255,86
1665665,85
1677073,85
1688482,83
1699891,85
1711299,84
1722708,85
1734117,85
1745525,84
1756933,83
1768341,83
1779750,83
1791158,84
1802567,84
1813977,82
1825385,83
1836794,87
1848202,86
1859612,83
1871020,85
1882429,83
1893837,82
1905246,86
1916655,86
1928063,85
1939473,85
1950882,84
1962290,84
1973698,84
1985106,85
1996516,83
2007925,82
2019333,82
2030742,86
2042151,82
2053559,83
2064968,83
2076376,86
2087784,84
2099193,82
2110602,84
2122010,87
2133419,82
2144827,85
2156236,86
2167645,85
2179053,85
2190461,84
2201870,86
2213278,86
2224686,86
2236095,84
2247503,86
2258912,83
2270320,85
2281729,84
2293138,86
2304547,83
2315955,82
2327364,82
2338772,84
2350181,85
2361590,85
2373000,83
2384408,83
2395817,85
2407225,82
2418634,85
2430042,81
2441451,81
2452859,83
2464268,85
2475677,84
2487085,82
2498494,83
2509902,86
2521311,86
2532719,85
2544127,83
2555537,83
2566946,86
2578354,83
2589763,83
2601172,83
2612581,84
2623989,83
2635398,83
2646806,87
2658215,85
2669624,85
2681033,82
2692441,83
2703850,84
2715258,85
2726667,86
2738075,87
2749484,84
2760893,83
2772302,87
2783711,87
2795119,86
2806529,85
2817938,86
2829346,84
2840755,84
2852163,84
2863571,86
2874979,85
2886388,83
2897797,86
2911228,81
2922637,81
2934045,84
2945454,82
2956862,84
2968271,82
2979680,85
2991088,84
3002498,85
3013907,86
3025315,82
3036724,83
3048132,83
3059541,83
3070951,82
3082359,83
3093768,83
3105176,83
3116585,80
3127995,83
3139403,84
3150812,81
3162220,80
3173629,84
3185037,83
3196446,83
3207854,82
3219263,85
3230672,85
3242080,86
3253489,81
3264897,84
3276306,83
3287715,83
3299124,82
3310533,85
3321941,84
3333349,82
3344757,85
3356167,86
3367576,84
3378984,82
3390393,83
3401801,83
3413210,84
3424619,86
3436028,84
3447436,82
3458845,84
3470253,83
3481662,83
3493070,82
3504479,84
3515887,81
3527296,83
3538705,85
3550113,84
3561522,84
3572930,84
3584338,82
3595746,84
3607155,85
3618564,81
3629974,83
3641382,85
3652791,83
3664199,86
3675608,82
3687018,85
3698426,83
3709835,85
3721243,83
3732653,84
3744062,81
3755470,83
3766879,82
3778287,83
3789696,83
3801105,83
3812513,81
3823922,82
3835330,84
3846739,84
3858148,83
3869557,82
3880965,83
3892374,81
3903782,82
3915191,85
3926600,84
3938010,86
3949418,80
3960827,83
3972235,84
3983643,83
3995052,84
4006460,83
4017868,82
4029277,85
4040686,85
4052094,81
4063502,81
4074911,84
4086319,85
4097729,86
4109137,83
4120546,83
4131955,86
4143363,85
4154771,85
4166180,86
4177589,85
4188999,86
4200407,86
4211816,82
4223225,85
4234634,83
4246042,82
4257450,83
4268859,83
4280267,83
4291676,85
4303085,86
4314493,82
4325901,85
4337310,82
4348718,82
4360128,85
4371537,81
4382945,83
4394354,83
4405762,84
4417171,85
4428580,83
4439990,82
4451398,85
4462807,84
4474216,83
4485625,84
4497034,86
4508442,84
4519851,82
4531259,83
4542667,84
4554075,84
4565485,82
4576893,86
4588302,82
4599711,85
4611119,83
4622528,80
4633936,85
4645344,86
4656752,84
4668161,87
4679570,82
4690978,85
4702387,83
4713795,82
4725204,84
4736613,84
4748022,85
4759431,84
4770839,83
4782247,83
4793655,83
4805064,82
4816472,82
4827881,82
4839289,83
4850699,82
4862108,84
4873516,83
4884924,82
4896332,83
4907741,83
4919150,83
4930559,84
4941967,82
4953376,81
4964784,82
4976193,83
4987602,82
4999010,84
5010419,82
5021827,82
5033236,83
5044645,85
5056053,79
5067461,85
5078870,82
5090278,84
5101686,86
5113095,85
5124503,83
5135912,84
5147320,84
5158729,85
5170138,84
5181547,84
5192955,83
5204364,84
5215772,83
5227181,81
5238590,85
5250000,85
5261408,86
5272817,86
5284225,83
5295634,81
5307042,84
5318451,84
5329859,84
5341268,84
5352677,83
5364085,83
5375493,85
5386902,84
5398311,86
5409719,83
5421127,85
5432536,83
5443945,83
5455353,82
5466761,84
5478171,81
5489580,84
5500989,84
5512397,83
5523806,83
5535214,85
5546624,82
5558033,81
5569442,84
5580850,84
5592259,84
5603668,84
5615076,83
5626484,84
5637893,84
5649302,83
5660711,85
5672119,84
5683529,83
5694938,84
5706346,84
5717755,84
5729163,84
5740571,84
5751979,85
5763388,83
5774797,83
5786205,84
5797613,84
5809023,85
5822455,84
5833863,83
5845272,86
5856680,84
5868089,85
5879497,84
5890905,84
5902314,82
5913723,81
5925132,85
5936540,84
5947949,82
5959357,81
5970766,82
5982175,82
5993583,84
6004991,86
6016400,82
6027808,81
6039217,84
6050626,85
6062035,82
6073444,85
6084852,82
6096261,85
6107670,79
6119079,82
6130488,83
6141896,83
6153305,84
6164714,85
6176122,80
6187530,83
6198938,82
6210347,83
6221756,85
6233165,83
6244573,80
6255981,82
6267390,79
6278798,82
6290207,82
6301617,83
6313026,82
6324435,84
6335843,83
6347251,83
6358660,85
6370068,83
6381477,84
6392886,80
6404294,82
6415703,84
6427112,87
6438520,85
6449929,84
6461337,87
6472746,84
6484154,82
6495563,85
6506972,83
6518380,84
6529789,87
6541197,84
6552606,83
6564016,82
6575424,84
6586833,85
6598241,85
6609650,82
6621059,87
6632467,82
6643875,83
6655284,82
6666693,85
6678101,86
6689510,83
6700918,82
6712326,83
6723735,78
6735143,82
6746552,86
6757960,82
6769369,84
6780777,82
6792187,84
6803596,83
6815004,84
6826413,84
6837821,82
6849230,82
6860639,83
6872048,85
6883457,81
6894866,83
6906274,83
6917683,84
6929091,81
6940500,82
6951908,84
6963317,85
6974726,80
6986134,82
6997543,82
7008953,83
7020361,82
7031770,82
7043179,82
7054588,83
7065996,85
7077405,85
7088813,86
7100222,82
7111631,83
7123039,83
7134447,84
7145856,83
7157264,83
7168673,84
7180082,84
7191490,87
7202899,82
7214307,84
7225717,83
7237126,84
7248534,83
7259944,82
7271352,83
