Left Encoder,Left Wheel Speed,Right Encoder,Right Wheel Speed,Voltage,Time
0,0,0,0.21,1,1
0,0.21,0,0.21,1,6
0,0.42,0.01,0.42,1,11
0.01,0.21,0.01,0.42,1,16
0.01,0.42,0.01,0.63,1,21
0.01,0.63,0.01,0.63,1,26
0.01,0.42,0.02,0.63,1,31
0.02,0.63,0.02,0.63,1,36
0.02,0.42,0.02,0.63,1,41
0.02,0.63,0.03,0.84,1,46
0.02,0.63,0.03,0.84,1,51
0.03,0.63,0.03,0.63,1,56
0.03,0.63,0.04,0.84,1,61
0.03,0.63,0.04,0.84,1,66
0.04,0.84,0.05,0.84,1,71
0.04,0.63,0.05,0.84,1,76
0.04,0.63,0.06,0.84,1,81
0.05,0.63,0.06,0.84,1,86
0.05,0.84,0.06,0.84,1,91
0.05,0.63,0.07,0.84,1,96
0.06,0.84,0.07,0.84,1,101
0.06,0.63,0.08,0.84,1,106
0.06,0.63,0.08,0.84,1,111
0.07,0.84,0.08,0.84,1,116
0.07,0.63,0.09,0.84,1,121
0.08,0.63,0.09,0.84,1,126
0.08,0.84,0.1,1.05,1,131
0.08,0.84,0.1,0.84,1,136
0.09,0.63,0.11,0.84,1,141
0.09,0.63,0.11,0.84,1,146
0.09,0.84,0.12,0.84,1,151
0.1,0.84,0.12,0.84,1,156
0.1,0.63,0.12,1.05,1,161
0.1,0.63,0.13,0.84,1,166
0.11,0.84,0.13,0.84,1,171
0.11,0.63,0.14,0.84,1,176
0.12,0.84,0.14,0.84,1,181
0.12,0.63,0.15,0.84,1,186
0.12,0.84,0.15,1.05,1,191
0.13,0.63,0.15,0.84,1,196
0.13,0.84,0.16,0.84,1,201
0.13,0.63,0.16,0.84,1,206
0.14,0.84,0.17,0.84,1,211
0.14,0.63,0.17,1.05,1,216
0.15,0.84,0.18,0.84,1,221
0.15,0.63,0.18,0.84,1,226
0.15,0.84,0.19,0.84,1,231
0.16,0.63,0.19,0.84,1,236
0.16,0.84,0.19,0.84,1,241
0.16,0.63,0.2,1.05,1,246
0.17,0.84,0.2,0.84,1,251
0.17,0.63,0.21,0.84,1,256
0.17,0.84,0.21,0.84,1,261
0.18,0.63,0.22,0.84,1,266
0.18,0.84,0.22,1.05,1,271
0.19,0.63,0.23,0.84,1,276
0.19,0.84,0.23,0.84,1,281
0.19,0.63,0.23,0.84,1,286
0.2,0.84,0.24,0.84,1,291
0.2,0.63,0.24,0.84,1,296
0.2,0.84,0.25,1.05,1,301
0.21,0.63,0.25,0.84,1,306
0.21,0.84,0.26,0.84,1,311
0.22,0.84,0.26,0.84,1,316
0.22,0.63,0.26,0.84,1,321
0.22,0.63,0.27,1.05,1,326
0.23,0.84,0.27,0.84,1,331
